date,Final_times_viewed,Final_price
2017-11-28,15047.0,14450.540000000325
2017-11-29,14159.0,13411.960000000328
2017-11-30,15766.0,13290.250000000262
2017-12-01,12524.0,9687.280000000057
2017-12-02,3313.0,1443.2600000000011
2017-12-03,8544.0,6432.939999999952
2017-12-04,12751.0,13137.500000000222
2017-12-05,12604.0,9467.010000000033
2017-12-06,10510.0,11268.54000000006
2017-12-07,11985.0,10976.600000000073
2017-12-08,7922.0,4898.319999999972
2017-12-10,8521.0,4982.869999999973
2017-12-11,17017.0,19866.98000000031
2017-12-12,11127.0,10012.130000000036
2017-12-13,14280.0,15879.660000000289
2017-12-14,9505.0,7701.579999999948
2017-12-15,8973.0,10970.560000000138
2017-12-17,4013.0,1964.7900000000047
2017-12-18,3212.0,2846.579999999992
2017-12-19,5218.0,13350.100000000077
2017-12-20,3028.0,2268.309999999997
2018-01-01,3005.0,1966.550000000005
2018-01-02,5603.0,3061.269999999997
2018-01-03,1994.0,965.8500000000016
2018-01-04,8499.0,3373.1599999999894
2018-01-05,5463.0,4979.929999999986
2018-01-07,4702.0,2080.1000000000076
2018-01-08,8682.0,14429.400000000163
2018-01-09,5678.0,3799.5799999999917
2018-01-10,5706.0,11600.810000000054
2018-01-11,9615.0,12228.63000000008
2018-01-12,4534.0,2084.960000000004
2018-01-14,5700.0,3438.3099999999854
2018-01-15,6112.0,8908.330000000016
2018-01-16,8924.0,7847.690999999996
2018-01-17,5168.0,7021.909999999994
2018-01-18,7288.0,3854.5999999999813
2018-01-19,8369.0,9419.020000000019
2018-01-21,5892.0,4022.2299999999764
2018-01-22,7689.0,7017.8099999999695
2018-01-23,8009.0,15461.130000000103
2018-01-24,7649.0,6385.549999999985
2018-01-25,7821.0,3804.139999999985
2018-01-26,6193.0,23966.84099999995
2018-01-28,7490.0,3953.5599999999804
2018-01-29,6337.0,7421.110999999983
2018-01-30,7143.0,4616.5299999999725
2018-01-31,7229.0,5971.390999999984
2018-02-01,8239.0,4837.899999999967
2018-02-02,5556.0,4328.159999999993
2018-02-04,3803.0,2310.459999999998
2018-02-05,6617.0,6838.369999999995
2018-02-06,6954.0,3607.209999999988
2018-02-07,2974.0,4111.6899999999805
2018-02-08,4781.0,2901.149999999991
2018-02-09,4153.0,3009.969999999987
2018-02-11,6478.0,3554.9899999999825
2018-02-12,6991.0,5680.740999999991
2018-02-13,9178.0,8022.729999999969
2018-02-14,6888.0,3361.3899999999853
2018-02-15,8389.0,5028.669999999965
2018-02-16,5494.0,7938.450000000003
2018-02-18,4351.0,3367.130999999978
2018-02-19,8322.0,3731.489999999982
2018-02-20,6589.0,4217.939999999986
2018-02-21,6950.0,5192.740999999978
2018-02-22,9503.0,5217.099999999964
2018-02-23,4703.0,7546.430999999987
2018-02-25,5616.0,3960.7899999999745
2018-02-26,7039.0,4471.599999999968
2018-02-27,7563.0,6904.309999999994
2018-02-28,10398.0,6203.959999999964
2018-03-01,11677.0,7608.819999999953
2018-03-02,6456.0,5063.209999999978
2018-03-04,8424.0,6232.909999999957
2018-03-05,8910.0,9686.82999999994
2018-03-06,7080.0,6752.6799999999685
2018-03-07,8572.0,6373.6099999999915
2018-03-08,6657.0,5420.859999999985
2018-03-09,5351.0,3744.0900000000015
2018-03-11,2964.0,1817.5800000000036
2018-03-12,7051.0,7573.530999999985
2018-03-13,7229.0,5195.8999999999705
2018-03-14,7873.0,4263.499999999966
2018-03-15,9830.0,6450.7199999999775
2018-03-16,7221.0,48929.06999999991
2018-03-18,6922.0,4007.2199999999752
2018-03-19,8340.0,6600.9699999999675
2018-03-20,6541.0,52515.16999999939
2018-03-21,8893.0,9218.690000000033
2018-03-22,10163.0,19204.28000000016
2018-03-23,7721.0,5331.209999999987
2018-03-25,9368.0,4761.22999999998
2018-03-26,9528.0,8616.999999999964
2018-03-27,10054.0,7485.14999999996
2018-03-28,8989.0,7870.139999999959
2018-03-29,9504.0,6704.069999999963
2018-04-03,5633.0,3875.0999999999694
2018-04-04,7822.0,4907.66999999996
2018-04-05,11108.0,7273.149999999966
2018-04-06,5416.0,3490.169999999985
2018-04-08,6339.0,3202.429999999993
2018-04-09,6696.0,3510.4709999999855
2018-04-10,6755.0,4270.259999999978
2018-04-11,7653.0,3469.879999999987
2018-04-12,7518.0,24266.590000000095
2018-04-13,5843.0,2551.879999999999
2018-04-15,6665.0,5620.1399999999785
2018-04-16,11913.0,15653.439999999906
2018-04-17,8039.0,13939.590000000082
2018-04-18,8183.0,8380.569999999992
2018-04-19,9964.0,17109.400000000045
2018-04-20,6662.0,5920.14999999999
2018-04-22,6233.0,4403.149999999973
2018-04-23,9368.0,9095.379999999965
2018-04-24,11172.0,5622.5599999999595
2018-04-25,11301.0,5885.789999999979
2018-04-26,11371.0,-44990.04900000062
2018-04-27,6686.0,6546.579999999978
2018-04-29,4605.0,2638.0399999999954
2018-05-01,7530.0,7857.459999999983
2018-05-02,7896.0,7172.599999999967
2018-05-03,13295.0,9737.41000000004
2018-05-04,9541.0,4199.14999999997
2018-05-06,8595.0,5212.679999999965
2018-05-07,9179.0,8630.930000000006
2018-05-08,10506.0,6422.699999999971
2018-05-09,7830.0,4590.299999999984
2018-05-10,7773.0,5524.289999999971
2018-05-11,4744.0,3864.489999999982
2018-05-13,5825.0,4613.419999999965
2018-05-14,7764.0,5299.489999999961
2018-05-15,6906.0,6128.839999999955
2018-05-16,6176.0,4618.06999999998
2018-05-17,9303.0,6635.789999999964
2018-05-18,6183.0,6199.099999999974
2018-05-20,7747.0,4696.009999999975
2018-05-21,9976.0,5610.629999999975
2018-05-22,8140.0,5393.469999999964
2018-05-23,9829.0,13550.430000000104
2018-05-24,11162.0,6308.409999999962
2018-05-25,6863.0,5601.789999999972
2018-05-27,3529.0,2380.0300000000034
2018-05-29,5734.0,4233.569999999983
2018-05-30,4350.0,3650.3400000000047
2018-05-31,8795.0,7617.389999999958
2018-06-01,5299.0,7494.149999999989
2018-06-03,10307.0,7034.339999999934
2018-06-04,12465.0,9485.920000000022
2018-06-05,9371.0,12855.30000000016
2018-06-06,9076.0,4691.279999999968
2018-06-07,6340.0,4461.05999999997
2018-06-08,10116.0,15010.590000000071
2018-06-10,7312.0,4799.019999999966
2018-06-11,8118.0,5801.649999999982
2018-06-12,9026.0,7537.2599999999775
2018-06-13,10400.0,6217.809999999978
2018-06-14,9449.0,73706.42999999956
2018-06-15,5485.0,4063.1099999999788
2018-06-17,2137.0,1583.9200000000017
2018-06-18,8436.0,5783.589999999973
2018-06-19,5133.0,4287.579999999972
2018-06-20,7184.0,4546.449999999974
2018-06-21,7885.0,9860.82999999996
2018-06-22,5990.0,5624.179999999963
2018-06-24,5699.0,4149.529999999977
2018-06-25,11110.0,6630.2299999999705
2018-06-26,10113.0,6192.409999999956
2018-06-27,10794.0,7551.749999999952
2018-06-28,11487.0,6380.659999999951
2018-06-29,6394.0,3350.38999999998
2018-07-01,2640.0,2285.5500000000006
2018-07-02,11345.0,6534.119999999962
2018-07-03,5991.0,4606.759999999999
2018-07-04,8759.0,10098.82000000002
2018-07-05,7984.0,6413.419999999952
2018-07-06,4609.0,3934.589999999994
2018-07-08,2533.0,2040.4600000000075
2018-07-09,5847.0,5502.49999999998
2018-07-10,5500.0,4796.419999999978
2018-07-11,7463.0,6732.90999999997
2018-07-12,9546.0,10515.909999999989
2018-07-13,7619.0,4453.449999999972
2018-07-15,4949.0,3065.7599999999966
2018-07-16,8907.0,-38702.94000000023
2018-07-17,7135.0,4311.50999999997
2018-07-18,7305.0,5829.619999999978
2018-07-19,7616.0,7401.689999999968
2018-07-20,6382.0,3531.509999999981
2018-07-22,7220.0,4091.479999999977
2018-07-23,8852.0,7229.919999999963
2018-07-24,6574.0,3685.7999999999843
2018-07-25,8546.0,4231.179999999973
2018-07-26,8700.0,15094.710000000017
2018-07-27,4630.0,3234.699999999989
2018-07-29,4113.0,2734.4899999999952
2018-07-30,7096.0,6506.469999999977
2018-07-31,7350.0,8217.919999999962
2018-08-01,7879.0,6210.339999999974
2018-08-02,7982.0,3759.739999999982
2018-08-03,4434.0,1965.3500000000067
2018-08-05,4662.0,2565.319999999995
2018-08-06,6518.0,2723.679999999997
2018-08-07,7400.0,7888.819999999977
2018-08-08,4873.0,9440.53000000004
2018-08-09,9887.0,8283.79999999997
2018-08-10,8274.0,6050.399999999976
